Reference,Document Number,Posting Date,Amount in local currency,Funds Center,G/L Account,Text,Document Header Text
0000004160,110000018.0,2025-01-09,1400.0,10130007.0,A73101,"*Req.from  12.01.25 To  17.01.25 to   Kuching, Sib",TR0000065317
0000004159,110000019.0,2025-01-09,1200.0,10130007.0,A73101,"*Req.from  12.01.25 To  17.01.25 to   Kuching, Sib",TR0000065319
0002000011,110000020.0,2025-01-09,1200.0,10130007.0,A73101,"*Req.from  12.01.25 To  17.01.25 to   Kuching, Sib",TR0000065321
0002000025,110000026.0,2025-01-10,500.0,10130001.0,A73101,*Req.from  20.01.25 To  23.01.25 to   CIDB Cawanga,TR0000065423
0000001406,110000027.0,2025-01-10,500.0,10150009.0,A73101,"*Req.from  13.01.25 To  17.01.25 to   ABM Utara, K",TR0000065426
0000001415,110000028.0,2025-01-10,280.0,10150010.0,A73101,*Req.from  13.01.25 To  14.01.25 to   Pej. CIDB Ta,TR0000065428
0005000107,110000030.0,2025-01-12,550.0,10200011.0,A73101,"*Req.from  20.01.25 To  23.01.25 to   Bentong, Pah",TR0000065434
0005000060,110000031.0,2025-01-12,600.0,10200011.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Bentong & Ge,TR0000065436
0005000123,110000036.0,2025-01-13,180.0,10200009.0,A73101,*Req.from  19.01.25 To  20.01.25 to   KUALA LUMPUR,TR0000065518
0005000129,110000037.0,2025-01-13,150.0,10200009.0,A73101,*Req.from  19.01.25 To  20.01.25 to   KUALA LUMPUR,TR0000065520
0005000130,110000038.0,2025-01-13,220.0,10200010.0,A73101,*Req.from  16.01.25 To  17.01.25 to   Genting Perm,TR0000065522
0005000112,110000042.0,2025-01-13,400.0,10200023.0,A73101,*Req.from  20.01.25 To  23.01.25 to   BINTULU,TR0000065526
0005000153,110000048.0,2025-01-14,400.0,10200010.0,A73101,*Req.from  20.01.25 To  23.01.25 to   GENTING HIGH,TR0000065534
0005000158,110000049.0,2025-01-14,600.0,10200010.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Bentong,TR0000065534
0005000125,110000050.0,2025-01-14,400.0,10200010.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Daerah Bento,TR0000065534
0005000133,110000051.0,2025-01-14,500.0,10200010.0,A73101,*Req.from  20.01.25 To  23.01.25 to   BENTONG DAN,TR0000065534
0005000127,110000052.0,2025-01-14,600.0,10200010.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Bentong,TR0000065534
0005000122,110000053.0,2025-01-14,594.0,10200010.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Bentong dan,TR0000065534
0005000166,110000056.0,2025-01-14,600.0,10200005.0,A73101,*Req.from  20.01.25 To  23.01.25 to   DAERAH BENTO,TR0000065538
0005000161,110000057.0,2025-01-14,600.0,10200005.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Daerah Bento,TR0000065540
0005000175,110000058.0,2025-01-14,650.0,10200005.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Pahang,TR0000065544
0005000184,110000061.0,2025-01-15,600.0,10200006.0,A73101,"*Req.from  20.01.25 To  23.01.25 to   Genting, Pah",TR0000065550
0005000176,110000062.0,2025-01-15,480.0,10200006.0,A73101,"*Req.from  20.01.25 To  23.01.25 to   Bentong, Pah",TR0000065552
0005000177,110000063.0,2025-01-15,600.0,10200006.0,A73101,*Req.from  20.01.25 To  23.01.25 to   BENTONG PAHA,TR0000065554
0005000203,110000066.0,2025-01-15,600.0,10200006.0,A73101,"*Req.from  20.01.25 To  23.01.25 to   GENTING, PAH",TR0000065556
0005000208,110000070.0,2025-01-16,550.0,10200020.0,A73101,*Req.from  20.01.25 To  23.01.25 to   BINTULU,TR0000065574
0005000216,110000082.0,2025-01-17,400.0,10200001.0,A73101,*Req.from  21.01.25 To  24.01.25 to   Pulau Pinang,TR0000065623
0006000013,110000089.0,2025-01-20,500.0,10120002.0,A73101,*Req.from  21.01.25 To  23.01.25 to   cidb kota ki,TR0000065625
0002000030,110000090.0,2025-01-20,500.0,10130001.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Genting High,TR0000065627
0005000129,110000099.0,2025-01-21,-150.0,10200009.0,A73101,*Trip from 19.01.25 To  20.01.25 to   KUALA LUMPUR,TR0000065656
0002000036,110000100.0,2025-01-21,500.0,10130001.0,A73101,*Req.from  20.01.25 To  23.01.25 to   Genting High,TR0000065658
0002000035,110000101.0,2025-01-21,400.0,10130001.0,A73101,*Req.from  20.01.25 To  23.01.25 to   GENTING HIGH,TR0000065660
0005000123,110000108.0,2025-01-20,-180.0,10200009.0,A73101,*Trip from 19.01.25 To  20.01.25 to   KUALA LUMPUR,TR0000065668
0000001415,110000113.0,2025-01-21,-280.0,10150010.0,A73101,*Trip from 13.01.25 To  14.01.25 to   Pej. CIDB Ta,TR0000065686
0000004159,110000128.0,2025-01-22,-1200.0,10130007.0,A73101,"*Trip from 12.01.25 To  17.01.25 to   Kuching, Sib",TR0000065696
0000004160,110000136.0,2025-01-23,-1400.0,10130007.0,A73101,"*Trip from 12.01.25 To  17.01.25 to   Kuching, Sib",TR0000065706
0000001406,110000137.0,2025-01-23,-500.0,10150009.0,A73101,"*Trip from 13.01.25 To  17.01.25 to   ABM Utara, K",TR0000065708
0005000335,110000196.0,2025-01-28,1300.0,10200007.0,A73101,"*Req.from  02.02.25 To  08.02.25 to   AC HOTEL, PE",TR0000065799
0005000161,110000241.0,2025-02-03,-600.0,10200005.0,A73101,*Trip from 20.01.25 To  23.01.25 to   Daerah Bento,TR0000065844
0005000166,110000242.0,2025-02-03,-600.0,10200005.0,A73101,*Trip from 20.01.25 To  23.01.25 to   DAERAH BENTO,TR0000065846
0005000107,110000284.0,2025-02-04,-550.0,10200011.0,A73101,"*Trip from 20.01.25 To  23.01.25 to   Bentong, Pah",TR0000065870
0005000060,110000288.0,2025-02-04,-600.0,10200011.0,A73101,*Trip from 20.01.25 To  23.01.25 to   Bentong & Ge,TR0000065872
0006000031,110000295.0,2025-02-04,400.0,10120002.0,A73101,*Req.from  04.02.25 To  06.02.25 to   CIDB TERENGG,TR0000065874
0006000032,110000296.0,2025-02-04,500.0,10120002.0,A73101,*Req.from  10.02.25 To  12.02.25 to   CIDB KUCHING,TR0000065874
0001000029,110000297.0,2025-02-04,850.0,10110004.0,A73101,*Req.from  16.02.25 To  19.02.25 to   CIDB Swk & A,TR0000065876
0005000306,110000298.0,2025-02-04,513.0,10160003.0,A73101,*Req.from  05.02.25 To  07.02.25 to   CIDB Kuching,TR0000065878
0005000296,110000299.0,2025-02-04,567.0,10160003.0,A73101,*Req.from  05.02.25 To  07.02.25 to   KUCHING SARA,TR0000065880
0005000177,110000307.0,2025-02-04,-600.0,10200006.0,A73101,*Trip from 20.01.25 To  23.01.25 to   BENTONG PAHA,TR0000065889
0005000203,110000313.0,2025-02-04,-600.0,10200006.0,A73101,"*Trip from 20.01.25 To  23.01.25 to   GENTING, PAH",TR0000065891
0005000184,110000314.0,2025-02-04,-600.0,10200006.0,A73101,"*Trip from 20.01.25 To  23.01.25 to   Genting, Pah",TR0000065893
0006000013,110000321.0,2025-02-04,-500.0,10120002.0,A73101,*Trip from 21.01.25 To  23.01.25 to   cidb kota ki,TR0000065901
0002000025,110000323.0,2025-02-04,-500.0,10130001.0,A73101,*Trip from 20.01.25 To  23.01.25 to   CIDB Cawanga,TR0000065905
0005000216,110000332.0,2025-02-05,-400.0,10200001.0,A73101,*Trip from 21.01.25 To  24.01.25 to   Pulau Pinang,TR0000065917
0005000329,110000342.0,2025-02-05,750.0,10200030.0,A73101,*Req.from  10.02.25 To  14.02.25 to   W.P Labuan,TR0000065919
0005000334,110000348.0,2025-02-05,900.0,10200030.0,A73101,*Req.from  10.02.25 To  14.02.25 to   WILAYAH PERS,TR0000065925
0005000392,110000358.0,2025-02-05,400.0,10200020.0,A73101,*Req.from  10.02.25 To  13.02.25 to   Bau dan Punc,TR0000065939
0002000030,110000359.0,2025-02-05,-500.0,10130001.0,A73101,*Trip from 20.01.25 To  23.01.25 to   Genting High,TR0000065941
0002000036,110000360.0,2025-02-05,-500.0,10130001.0,A73101,*Trip from 20.01.25 To  23.01.25 to   Genting High,TR0000065943
0002000035,110000362.0,2025-02-05,-400.0,10130001.0,A73101,*Trip from 20.01.25 To  23.01.25 to   GENTING HIGH,TR0000065947
0005000158,110000368.0,2025-02-06,-600.0,10200010.0,A73101,*Trip from 20.01.25 To  23.01.25 to   Bentong,TR0000065958
0005000125,110000369.0,2025-02-06,-400.0,10200010.0,A73101,*Trip from 20.01.25 To  23.01.25 to   Daerah Bento,TR0000065958
0005000133,110000370.0,2025-02-06,-500.0,10200010.0,A73101,*Trip from 20.01.25 To  23.01.25 to   BENTONG DAN,TR0000065958
0005000127,110000371.0,2025-02-06,-600.0,10200010.0,A73101,*Trip from 20.01.25 To  23.01.25 to   Bentong paha,TR0000065958
