Document Number,Amount in local currency,Supplier,Document Type
110000071,273.0,E000167,AB
110008869,720.0,E000760,AB
110008871,720.0,E000410,AB
110010358,-441.14,E001013,AB
110010366,241.14,E001013,AB
110010432,-189.14,E001013,AB
110011191,167.0,E000231,AB
110011325,-541.9,E000391,AB
110011410,-351.0,E001426,AB
110011441,351.0,E001426,AB
110011552,-305.0,E000253,AB
110011553,-415.2,E000253,AB
110011554,-148.5,E000253,AB
110011616,-103.5,E000290,AB
110011617,-42.5,E000290,AB
110011618,-76.5,E000290,AB
110011619,-85.0,E000290,AB
110011620,-34.0,E000290,AB
110011693,-257.5,E000322,AB
110011694,-50.0,E000322,AB
110011696,-110.0,E001432,AB
110011697,-407.18,E001432,AB
110011731,-117.71,E000033,AB
110011732,-1448.24,E000886,AB
110011733,-899.95,E000886,AB
110011734,-27.0,E000813,AB
110011735,-1283.32,E000813,AB
Clearing Document ,-4862.14,,
110000009,416.4,E000295,AB
110000009,-416.4,E000295,AB
Clearing Document 110000009,0.0,,
110000011,758.0,E001136,AB
Clearing Document 110000011,758.0,,
110000021,336.05,E000706,AB
110000021,-336.05,E000706,AB
Clearing Document 110000021,0.0,,
110000022,254.82,E000276,AB
110000022,-254.82,E000276,AB
Clearing Document 110000022,0.0,,
110000023,62.9,E001560,AB
110000023,-62.9,E001560,AB
Clearing Document 110000023,0.0,,
110000024,830.4,E000428,AB
Clearing Document 110000024,830.4,,
110000041,830.4,E001548,AB
Clearing Document 110000041,830.4,,
110000047,567.0,E000563,AB
110000047,-567.0,E000563,AB
Clearing Document 110000047,0.0,,
110000064,650.0,E001510,AB
Clearing Document 110000064,650.0,,
110000065,830.4,E000756,AB
Clearing Document 110000065,830.4,,
110000068,1680.0,E000624,AB
Clearing Document 110000068,1680.0,,
110000084,830.4,E000432,AB
Clearing Document 110000084,830.4,,
110000085,850.0,E001176,AB
Clearing Document 110000085,850.0,,
110000102,915.6,E001293,AB
Clearing Document 110000102,915.6,,
110000134,1260.0,E001537,AB
Clearing Document 110000134,1260.0,,
110000135,945.0,E001093,AB
Clearing Document 110000135,945.0,,
110000154,650.0,E000128,AB
Clearing Document 110000154,650.0,,
110000161,1269.2,E000226,AB
Clearing Document 110000161,1269.2,,
110000209,438.8,E000428,AB
Clearing Document 110000209,438.8,,
110000306,3100.0,E001548,AB
Clearing Document 110000306,3100.0,,
110000397,800.0,E000243,AB
Clearing Document 110000397,800.0,,
110000452,200.0,E000793,AB
Clearing Document 110000452,200.0,,
110000453,650.0,E000743,AB
Clearing Document 110000453,650.0,,
110000617,850.0,E000510,AB
Clearing Document 110000617,850.0,,
110000846,2000.0,E001292,AB
Clearing Document 110000846,2000.0,,
110000791,-897.24,E001521,AB
110000851,597.24,E001521,AB
110000857,897.24,E001521,AB
110000857,-897.24,E001521,AB
Clearing Document 110000857,-300.0,,
110000862,5500.0,E001204,AB
Clearing Document 110000862,5500.0,,
110000903,5300.0,E000756,AB
Clearing Document 110000903,5300.0,,
110001012,945.0,E001537,AB
Clearing Document 110001012,945.0,,
110001015,630.0,E001093,AB
Clearing Document 110001015,630.0,,
110001019,980.0,E000624,AB
Clearing Document 110001019,980.0,,
110001057,1050.0,E000948,AB
Clearing Document 110001057,1050.0,,
110001120,5300.0,E000365,AB
Clearing Document 110001120,5300.0,,
110001220,1320.0,E000435,AB
Clearing Document 110001220,1320.0,,
110001259,650.0,E000128,AB
Clearing Document 110001259,650.0,,
110001294,451.1,E001293,AB
Clearing Document 110001294,451.1,,
110001333,570.0,E000212,AB
110001333,-570.0,E000212,AB
Clearing Document 110001333,0.0,,
110001456,441.7,E000756,AB
Clearing Document 110001456,441.7,,
110002369,4100.0,E000428,AB
Clearing Document 110002369,4100.0,,
110002418,1050.0,E001062,AB
Clearing Document 110002418,1050.0,,
110002445,4100.0,E000173,AB
Clearing Document 110002445,4100.0,,
110002539,3200.0,E000707,AB
Clearing Document 110002539,3200.0,,
110002585,1250.0,E000517,AB
Clearing Document 110002585,1250.0,,
110002632,-250.0,E000971,AB
110002633,250.0,E000971,AB
110002635,250.0,E000971,AB
110002635,-250.0,E000971,AB
Clearing Document 110002635,0.0,,
110002636,850.0,E000510,AB
Clearing Document 110002636,850.0,,
110002637,4100.0,E001197,AB
Clearing Document 110002637,4100.0,,
110002638,242.6,E001293,AB
Clearing Document 110002638,242.6,,
110002846,850.0,E000510,AB
Clearing Document 110002846,850.0,,
110002894,3400.0,E000936,AB
Clearing Document 110002894,3400.0,,
110002407,-151.0,E001436,AB
110002917,151.0,E001436,AB
110002921,151.0,E001436,AB
110002921,-151.0,E001436,AB
Clearing Document 110002921,0.0,,
110002902,-666.0,E001179,AB
110002906,666.0,E001179,AB
110002908,-666.0,E001179,AB
110002916,666.0,E001179,AB
110002923,1332.0,E001179,AB
